ISIN,Fund Name,SFDR,Sustainabilty Theme,Fund Provider,Fund Launch - start,Fund Currency,Funds Description,Funds Domicile,Benchmark ,Geography,AuM 2022 - amount USD mios,Perf 1Y USD,Impact Investing,Negative Screening,Positive Screening,Responsible Investments,SRI,ESG Rating,UNCTAD Sensitive sectors,Weapon ,Cluster bombs / Nuclear Weapons (NPT) ,Tobacco ,Gambling ,Pornography ,GMO ,Nuclear ,Alcohol ,Fossil fuels ,Coal ,Clean tech ,Net climate impact,UNCTAD SDG Alignment,Water and sanitation,Transport infrastructure,Telecommunications infrastructure,Power,Health,Food and agriculture,Education,Eco-systems/biodiversity,Climate change mitigation,Climate change adaptation,Portfolio weighted Co2 (Kt Co2 total) ,Portfolio weighted Co2 Intensity (tCO2/mio Revenues $),SBTi,No Info,SBTI - Committed,SBTI - Targets Set 2°C,SBTI - Targets Set Well-below 2°C,SBTI - Targets Set 1.5°C
LU0591897516,Schroder ISF European Innovators A EUR Acc,Article 9,SRI,Schroder Investment Management,"40,605.00",Euro,"The fund aims to provide capital growth by investing in equities and equity related securities of European companies. The fund aims to generate capital growth through the construction of a concentrated 'best ideas' portfolio. The fund will typically hold up to 35 companies. The fund may use derivatives with the aim of achieving investment gains, reducing risk or managing the fund more efficiently. The fund may also hold cash.",Luxembourg,MSCI Europe NR EUR,Europe,30.10,-0.35,,"ex Weapons, ex Other",,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.15,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,417.91,83.40,% Targets set,0.39,0.05,0.00,0.00,0.46
LU2306834925,DWS Invest SDG European Equities LC,Article 8,SRI,Dws Investments,"44,286.00",Euro,"The objective of the investment policy of DWS Invest SDG European Equities is to achieve a positive mid- to long-term investment performance. At least 80% of the sub-funds assets are invested in equities of foreign and domestic issuers that operate in a business field included in the central themes favoured according to the market situation, and up to 20% of the sub-funds assets may beinvested in short-term deposits, money market instruments and bank balances.",Luxembourg,Index is not provided by Management Company,Europe,4.91,-0.20,Sustainable Development Goals (SDGs),"ex Weapons, ex Tobacco, ex Fossil Energy",,TRUE,TRUE,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.32,0.04,0.00,0.00,0.03,0.20,0.00,0.02,0.03,0.04,0.00,"1,876.38",124.74,% Targets set,0.29,0.13,0.00,0.10,0.41
LU1985004883,Aviva Investors Climate Transition European Eq R,Article 8,Climate Change,Aviva Investors,"43,700.00",Euro,"The Sub-Fund invests principally in the equities of European companies which facilitate the transition to a low carbon economic model. It excludes fossil fuel companies and has two investment sleeves: A Solutions sleeve, which allocates to companies whose goods and services provide solution for climate change mitigation and adaptation; ATransition sleeve, which allocates to stocks whose business models positively align with and support the transition to a low-carbon economy. These companies will need to adapt to the impacts of a warmer world on their value chain and the economy at large.",Luxembourg,MSCI Europe NR EUR,Europe,47.66,-0.19,,"ex Weapons, ex Tobacco, ex Fossil Energy",Thematic,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.19,0.17,0.26,0.00,0.00,0.00,0.01,0.08,0.10,0.00,0.05,0.04,0.00,"1,974.06",103.90,% Targets set,0.21,0.06,0.03,0.04,0.64
LU1579337525,Amundi Funds European Eq Green Impact - A EUR (C),Article 8,SRI,Amundi Asset Management,"42,814.00",Euro,"The fund promotes ESG characteristics pursuant to Article 8 of the Disclosure Regulation. It invests mainly in equities of companies that are headquartered, or do substantial business, in Europe. Whilst the investment manager aims to invest in ESG Rated securities not all investments of the Sub-Fund will have an ESG rating and in any event such investments will not be more than 10% of the Sub-Fund.",Luxembourg,MSCI Europe TR EUR,Europe,221.97,-0.27,,"ex Weapons, ex Other",,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.25,0.11,0.03,0.00,0.08,0.03,0.03,0.00,0.00,0.06,0.00,535.35,177.69,% Targets set,0.26,0.14,0.03,0.04,0.49
FI4000024492,Fondita Sustainable Europe B,Article 9,SRI,Fondbolaget Fondita Ab,"40,682.00",Euro,"The Fund is an equity fund that invests in shares of publicly traded companies in EU, the United Kingdom, Switzerland and Norway. The fund does not have an official benchmark. The fund's investments are focused, and consist of about 20-30 holdings. The fund does not use derivative instruments. The fund management is active and the difference between the market index and the fund's performance is often significant. The fund's investment philosophy is based on stock-picking.",Finland,Index is not provided by Management Company,Europe,133.54,-0.26,Sustainable Development Goals (SDGs),"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex GMO, ex Fossil Energy",,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.60,0.12,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.08,0.04,0.00,783.51,162.25,% Targets set,0.31,0.13,0.00,0.07,0.42
LU1861460340,UBAM Positive Impact Equity AC EUR,Article 9,SRI,Ubp,"43,371.00",Euro,"The Fund seeks to grow capital and generate income primarily by investing in equities issued, for at least 70% of its net assets in companies having their registered office in the European Union, in the United Kingdom, in the European Economic Area and/or in Switzerland and up to 15% in the Emerging countries.",Luxembourg,MSCI Europe NR EUR,Europe,209.67,-0.31,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Alcohol or Drugs, ex Fossil Energy",,TRUE,TRUE,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.13,0.09,0.34,0.02,0.00,0.00,0.06,0.21,0.09,0.00,0.02,0.00,0.00,"1,410.30",113.83,% Targets set,0.25,0.14,0.00,0.04,0.55
LU1209226023,OFI Fund - RS ACT4 Positive Economy RC EUR,Article 9,SRI,Ofi Asset Management,"42,102.00",Euro,"The objective of this Sub-Fund is to outperform its reference benchmark the Stoxx Europe 600 Net Return by investing in quoted equity securities of companies, domiciled and listed in Regulated Markets or Other Regulated Markets within the European Economic Area and the United Kingdom. At least 75% of the Sub-Funds net assets shall be permanently invested in common stock of companies having their registered office, quoted or carrying out their business predominantly in the European Economic Area or in the United Kingdom.",Luxembourg,STOXX Europe 600 NR EUR,Europe,84.63,-0.26,,ex Fossil Energy,Thematic,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.23,0.19,0.32,0.00,0.00,0.00,0.01,0.15,0.05,0.00,0.09,0.03,0.00,"2,015.44",105.05,% Targets set,0.33,0.11,0.01,0.05,0.36
FR0013267150,OFI RS Equity Climate Change RC,Article 9,Climate Change,Macif Gestion,"42,923.00",Euro,"The Fund's objective is to outperform the Stoxx Europe 600 ex UK Net Dividends Reinvested Index by implementing an SRI approach and a Low Carbon approach related to the Energy Transition. The fund comprises approximately 1200 European stocks, 200 of which are monitored more closely by the managers. The portfolio is constructed and managed on the basis of a qualitative analysis of companies with a dominant position in their market or sector, or specialized companies presenting leadership on a specific niche.",France,STOXX Europe 600 ex UK NR,Europe,259.11,-0.27,,,"Best in Class, Thematic",TRUE,TRUE,10,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.02,0.24,0.19,0.16,0.00,0.00,0.00,0.04,0.11,0.01,0.00,0.01,0.02,0.00,"2,846.89",115.40,% Targets set,0.15,0.03,0.00,0.12,0.64
FR0000991424,Amundi Valeurs Durables - P (C/D),Article 9,SRI,Amundi Asset Management,"37,676.00",Euro,"The fund's objective is to participate in the development of European equity markets by selecting stocks whose activity is linked to sustainable development and mainly to the environment, while integrating ESG criteria (social, environmental and governance of company) in the fund's security selection and analysis process. As an indication, the performance of the UCITS will be compared to that of the MSCI Europe index. The fund is eligible for PEA.",France,MSCI Europe TR EUR,Europe,"2,007.75",-0.27,,,,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.29,0.08,0.03,0.00,0.07,0.03,0.08,0.00,0.00,0.07,0.00,569.60,141.21,% Targets set,0.21,0.10,0.03,0.06,0.57
FR0000982449,HSBC RIF Europe Equity Green Transition AC,Article 9,Transition,Hsbc Asset Management,"43,658.00",Euro,"The sub-fund's management objective is to maximize the performance over the recommended investment period of 5 years by investing a minimum of 75% of its assets in a portfolio of shares issued by companies that have a significant share of their activities in connection with the investment. theme of the energy and ecological transition. The portfolio companies are selected for their environmental, social, governmental and financial good practices.",France,Index is not provided by Management Company,Europe,286.93,-0.27,,,Best in Class,TRUE,TRUE,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.38,0.15,0.03,0.02,0.00,0.06,0.02,0.00,0.00,0.01,0.06,0.00,"2,554.43",143.80,% Targets set,0.26,0.08,0.01,0.10,0.53
